background,intro,minor,major
Keeper of the Hidden Lore,"You're an initiate of a secret magical tradition, or part of an arcane organization. Other initiates (and, sometimes, sworn enemies of your faction) could recognize you, and may either aid or hinder you, depending on the situation.","Minor (cost 1 BP): You gain two ranks in one of your Kin, Vocational, or Common Spell Lores (see Magic chapter for more information on Spell Lores).","Major (cost 3 BPs): Your training also unlocked a previously untapped reserve of magical power stored within you. You gain 1 extra MP per Level (including the first). However, the enemies of your faction both fear and long for your potential, and will go to great lengths to win you over to their cause."
Loremaster,"You are a scholar, a chronicler, a sage. You spent years studying the history of the world and are always well-informed on anything that happens around you.","Minor (cost 1 BP): You gain one rank in either the Songs & Tales or the Cultures Skill. Whenever you travel to a place you have never visited before in game, you may ask the GM to reveal an interesting rumor, piece of lore, or little-known historical fact about your destination.","Major (cost 3 BPs): You gain the benefits of the Minor Tier. Additionally, choose a specific field of knowledge, such as Dwarven history or Elvish runes. Treat all Failure results you score in Songs & Tales or Cultures Skill Rolls concerning the field of knowledge you've chosen as if they were Partial Success results (Critical Failure results are not influenced by this ability)."
Lovable Rogue,"You are a scoundrel, a crook, a liar, a ne'er-do-well. By all reasons, no one should like you, and yet people tend to find you unexplainably charming.","Minor (cost 1 BP): Write what makes you unreliable yet likable in your Nature, and increase the total value of either your Wits or your Bearing by 5 points.","Major (cost 3 BPs): Additionally, once per session, you can attempt to confuse a group of sentient beings with your outrageous behaviour as a Full Action. Your targets must be able to see and hear you, and cannot be engaged in combat for this ability to work. Describe your act and make a Conflicting Action Roll, using your Deceive Skill against their Perception Skill. If you win, your targets are Stunned and will be distracted by your actions until you stop or something else catches their attention."
Loyal Companion,"Your companion is more than a simple animal to you. It's your friend, your shadow; it's part of yourself.","Minor (cost 1 BP): You gain a loyal Small or Medium-sized animal of your choosing, who travels with you and follows your orders blindly. ","Major (cost 3 BPs): Your companion can be up to Large in size, or the bond you have with it is strengthened, granting you the ability to communicate with it at a basic level (exchanging concepts like fear, joy, enemies, attack, etc) without speaking. You must be able to see each other to use this ability."
Magical Affinity,A natural talent and specialized studies made you an expert in a particular school of magic.,Minor (cost 1 BP): Choose one of your Vocational Spell Lores to become your favorite Spell Lore. You gain a +10 bonus to all Spell Casting and Arcana Rolls concerning your favorite Spell Lore.,"Major (cost 3 BPs): Additionally, you count as if you were one Level higher when casting Spells from your favorite Spell Lore. You also gain one additional MP per level, but you can spend these extra MPs only to cast Spells from your favorite Spell Lore. However, you have a rival who's determined either to discredit you in the academic circle or to prove their magic school's superiority to you. "
Mark of Destiny,"You carry a strange mark on your body, that was there since you were born or since a very particular occasion. Sometimes it throbs or causes you discomfort, as if to warn you of something. You still haven't figured out the secret it hides, but one thing is certain: your own destiny is tightly connected to it.","Minor (cost 1 BP): You have a unique permanent mark (a scar, a birthmark, a tattoo, or anything similar) on a prominent part of your body. Describe it, then choose one of the following: servants of the Darkmaster, magic, or a specific kind of creature (demons, orcs, undead, etc). Your mark will always warn you when you're in the presence of what you chose (you decide how; it could throb, glow softly, cause you migraines, bleed, etc). You get a -10 penalty to all Perception Rolls to notice anything else when your mark is ""active"", because of the distraction.","Major (cost 3 BPs): You also gain an additional Passion, named ""Destiny"" representing your uncommon fate. Write it together with the GM and the rest of the group, and remember to link it to your mark somehow (i.e.: ""the blood of the ancient Archmages flows in my veins"", or ""I carry the mark of the Dragonslayer of legends""). This Passion works exactly like the others, but cannot be changed, unless you fulfill your destiny. "
Mixed Ancestry,"Your parents came from two different Cultures, or maybe you were raised in a Culture other than the one you were born in.",Minor (cost 1 BP): Choose a Culture other than your character's Culture and write a Passion about how your mixed ancestry influenced your character's life. Select a non-combat Skill in which the chosen Culture grants at least 2 Cultural Skill Ranks. Your character gains 1 rank in this Skills. Then choose one of the Culture's Outfitting Options and add that item to your character's starting equipment.,"Major (cost 3 BPs): Additionally, select a different Skill in which the chosen Culture grants at least 2 Cultural Skill Ranks. Swap your character's Cultural Skill Ranks with those granted by the chosen Culture."
Mundane,"You're pretty sure this is all a mistake. You're nothing like those great heroes of legend, you're just an ordinary fellow. Fate, however, works in mysterious ways, and sometimes small hands must perform the deeds which turn the wheels of the world. ","Minor (cost 1 BP): At the end of each session, if you haven't spent Drive during the session, you gain a point of Drive.","Major (cost 3 BPs): Additionally, you gain a +30 bonus to your Save Rolls and Defense against magic, but you also suffer a -20 penalty to your Attunement Rolls and Spell Casting Rolls. "
Mystical Training,"You've been raised and trained since you were a child in a secluded place or monastery under the guidance of a wise mentor, developing mystical fighting skills.",Minor (cost 1 BP): Write your Nature about the teachings of your master. Your unarmed attacks are one Size larger than what they should normally be (up to a maximum of Colossal).,"Major (cost 3 BPs): Additionally, a visible, mystical aura of holiness surrounds you when you're in danger, granting you a special +20 bonus to your Defense and Save Rolls if you are unarmed and aren't wearing any armor."
Religious Adept,You are a member of an established religious order: either of the clergy of some god's church or some cult.,"Minor (cost 1 BP): You are an initiate adept of the cult/ church. You always carry with you a holy symbol that identifies you as a member of your cult or church. Write your Nature or Allegiance to reflect either your religious creed or your loyalty to your cult/church. Other members of the church or cult will try to help you in times of need, giving you protection and shelter. You also gain a special +20 bonus to all Charisma and Deceive Rolls made against other followers of your belief.","Major (3 BPs): You are a member of the clergy, a ""true priest"". In addition to the benefits of the Minor Tier, choose a non-attack Spell of the Fifth Weave or less that doesn't require a Save Roll related to your belief. You can cast the chosen Spell once per day without spending MPs or making a Spell Casting Roll. Initiates and adepts of your cult/church will listen to your words and obey your provisions. However, you are disliked by the clergy and members of an opposing cult or church."
Rogue Mage,"You were born with an innate magical ability or developed it after a unique occurance. You can't really explain why or how your magic works, but using it is as natural as breathing to you. ",Minor (cost 1 BP): Include something about your magical ability in one of your Passions. Select any one Spell Lore of your choosing and add it to your Kin Spell Lores (see Magic chapter for more information on Spell Lores).,"Major (cost 3 BPs): Additionally, you can spend one point of Drive to gain the ability of casting spells from the chosen Spell Lore without spending MPs for a scene. At the end of that scene, you become Weary if you weren't Weary, and you drop unconscious for 1d10 hours if you were. However, you're hunted by a powerful NPC because of your powers."
Shapechanger,"The totemic animal of your people blesses you with a righteous fury, granting you the strength to crush your enemies.","Minor (cost 2 BPs): Choose a Medium-sized wild animal (like a wolf, a boar, or a mountain lion) as the totem of your people. Whenever you become Bruised or whenever you gain a point of Drive because of one of your Passions, you can assume the form of the animal you've chosen. While in this form, you have the AT, DEF, HP, natural physical abilities, Skills and attacks (you can choose if using the animal CMB or your Brawl Skill bonus when using these attacks) of your totemic animal, or your own Skill bonus +10, whichever is higher. Your Lore and mental Skills (those Skills that require concentration and human intellect) suffer instead a penalty of -50. While in animal form you can not speak nor cast Spells. You're also pervaded by a bestial fury. At the beginning of each Assessment Phase, if you're not Engaged, you must pass a Perception Roll or attack the nearest creature. You revert to your original form if you're Incapacitated or if there aren't enemies within sight and you pass your Perception Roll. When you return to your original form, you become Weary.","Major (cost 4 BPs): you can also choose a Large animal as your totem, and you can spend a point of Drive to transform into your totemic animal with a Full Action."
Slayer,"You have sworn an oath of eternal enmity towards a particular enemy. You have spent a great part of your life studying them, to find better ways to hunt them.","Minor (cost 1 BP): Pick a specific type of creature (like dragons, dwergars, or trolls) as your hated enemy, and write one of your Passions about your hatred toward them. You gain a +10 bonus to your Hunting, Cultures, Songs & Tales, and Attack Rolls when your hated enemy is involved. You cannot choose one of your companions' Kin as your hated enemy.","Major (cost 3 BP): Additionally, whenever you start a combat against your hated enemy or defeat one of your hated enemies in a fight, you gain one Hatred Token (use a glass bead or similar marker to represent it). You can spend a Hatred Token either to re-roll an Attack Roll that targeted a hated enemy or to add your Level to a Critical Strike Roll you scored against a hated enemy. Unused Hatred Tokens are discarded at the end of each combat."
Stormcrow,"You are cursed with a peculiar ability. You see glimpses of the future, now and then, but your visions only show you sorrow, failure, pain, and death. Your associates rarely listen to your counsel, calling you a doomsayer and a bird of ill-omen. But you know what's coming and prepare for the worst.","Minor (cost 1 BP): Write one of your Passions about your visions, and increase the total value of your Wisdom by 5 points.","Major (cost 3 BPs): Additionally, whenever one of your allies spends a point of Drive to re-roll a failed Skill or Save Roll and fails again, you may spend a Free Action to have a vision of doom. When you do so, your companion may accept the failure and get the point of Drive they just spent back."
Strider,"You lived most of your life in the wilderness, and are accustomed to the laws of Nature. You are stigmatised as an ""outsider"" by most of the civilized people you meet, but you probably don't care.","Minor (cost 1 BP): Write your Nature about why you preferred the harshness of the wilds to the comforts of civilization. You gain a +10 bonus to all your Adventuring Skills while you are outdoors, far from civilization. Furthermore, you can travel up to 1.5x the normal overland distance per day, as long as you're on foot and Unencumbered or Lightly Encumbered.","Major (cost 3 BPs): Additionally, you get a +30 bonus on your Save Rolls against Weariness and Starvation, and a +20 bonus to your Stealth and Perception Skills while you are out in the wilderness."
Trader,"You are or were in the trading business, as a member of a great merchant family, a shrewd dealer of rare goods, a provider of specialised services, or a similar occupation.",Minor (cost 1 BP): You get a special +10 bonus to your Deceive and Charisma Rolls whenever you're closing a deal or bargaining for something.,"Major (cost 3 BP): Additionally, once per session, when you meet a new NPC, you may spend one point of Drive to declare that they are either an old customer of yours, or a fellow trader."
Sworn Defender,"You are part of an elite military order sworn to protect something. It could be a place, an item, a person, or even an ideal, such as justice or honor. Whatever it is, you've vowed to defend it even at the cost of your own life.",Minor (cost 1 BP): Write your Allegiance about your order and its mission. You gain one rank in both Armor and Body. You also get a special +10 bonus to your Charisma Skill Rolls against people who are either part of what your order protects or friendly to their cause.,"Major (cost 3 BPs): Additionally, you are immune to fear and gain a +15 bonus to your Save Rolls against mind-influencing effects."
Unbreakable Bond,"The road may be dark before you, but you're not alone to face it. You formed a strong bond with another member of your fellowship. Together, you can overcome any adversity.","Minor (cost 1 BP): Select one of your companions and write your Allegiance about them. You gain a +10 bonus to your Rolls made to Help the chosen character. Moreover, you always know when your chosen companion is in danger, even if you aren't able to see each other or are separated by a great distance.","Major (cost 3 BPs): Additionally, as long as you and the chosen companion are within sight of each other, both of you gain a +5 bonus to your DEF and Save Rolls."
Underground Uprising,"You spent your youth in the company of thieves, ruffians, or others criminals. You may have left those years behind you, but you have never completely severed your ties with the underworld. ","Minor (cost 1 BP): Write something about your relationship with your criminal contacts in your Allegiance. You can use your network of contacts to call in favors or get better prices in the black market. Whenever you're buying stolen or illegal goods, you can treat your WL as if it were 2 levels higher (up to a maximum WL of 4).","Major (cost 3 BPs): Additionally, once per session whenever you are in a town, city, or other civilized settlement, you may spend one point of Drive to declare that you have a contact in the local criminal underworld that might help you in the situation at hand. Name the NPC introduced this way. They must actually lend you some kind of help to solve the specified situation but, besides that, they're controlled by the GM like any other NPC and aren't forced to help you for free (they're criminals, after all). "
Unorthodox Education,"You started learning the ropes of a different Vocation than the one you belong to now, but either soon discovered that it wasn't your calling or were somehow forced to interrupt your training. ",Minor (cost 1 BP): Choose a Skill in which you have no Vocational Bonuses. You gain a special +10 bonus to that Skill.,"Major (cost 3 BPs): Additionally, choose a Vocation different than yours and a Skill Category in which that Vocation gets at least 2 DPs each Level. At each Level, you get one less Development Point to spend in the Skill Category your Vocation gets the most DPs (choose one when you select this Option if more Categories get the same number of DPs), and one additional Development Point to spend in the chosen category for the other Vocation. However, you gained the enmity of a powerful individual during your training. Name your enemy and write your Allegiance about them. For example, if you are a Wizard and chose the Warrior Vocation and the Body Skill Category, at each Level you gain one less DP in either the Lore or the Spells Category, and one extra DP in Body. "
Vigilant,An adventurous life taught you to sleep lightly and be always ready for trouble.,"Minor (cost 1 BP): Four hours of rest are enough to give you the benefits of a full night of sleep. This doesn't change your HPs recovery rate, but allows you to recover from the Weary condition and regain all spent MPs with 4 hours of rest.","Major (cost 3 BPs): Additionally, you can take Full Actions, attack, and Parry normally when you are Surprised. You are still considered Surprised for the purpose of resolving your foe's attacks and special abilities. However, there's a reason why you're always watchful. Someone or something is out there to get you. Name your enemy and write an Allegiance about them."
Well Traveled,"You travelled far and wide, and are familiar with many places and ways unknown to the majority of people.","Minor (cost 1 BP): You gain one rank in Wandering and you know the location of a Safe Haven. Once during the game, unless your character is in the Darklands, you can declare that a Safe Haven is near, and mark it on the map within 1d5 days of travel from your character's position. Once you've done this, you lose this ability, but the Safe Haven remains available to you and your companions.","Major (cost 3 BPs): Additionally, once per session when your party is Preparing for Travel, you may ask the GM to reveal an alternative, secret, or rarely used route to your destination, without any Skill Roll."
Wyrd,"You are bound by a strange fate. Improbable and unpredictable things seems to happen with alarming frequency around you, for good or bad. ","Minor (cost 1 BP): Whenever you make an Open-Ended Roll, you must re-roll the dice and add the result on an Unmodified Roll of 95 or more, instead of the normal 96 or more. You must also re-roll and subtract the result on an Unmodified Roll of 06 or less, instead of the standard 05 or less.","Major (cost 3 BPs): Whenever you make an Open-Ended Roll, you must re-roll the dice and add the result on an Unmodified Roll of 93 or more, instead of the normal 96 or more. You must also re-roll and subtract the result on an Unmodified Roll of 08 or less, instead of the standard 05 or less"
