name,data
Geared for Adventure,"[{""name"": ""Geared for Adventure"",""type"": ""Trait"",""data"": {""notes"": ""Your companions may joke about the quantity of gear you manage to stuff in your backpack, but you know that being prepared always pays well during an adventure.\n- Minor (cost 1 BP):  You can add two items with a Fare of 2 or less (see the Equipment section in the Appendix) or one Fare 3 item to your starting equipment.\n- Major (cost 3 BPs):  Include something about always being well prepared in your Nature. Additionally, once per session you can spend one point of Drive and a Full Action to rummage through your belongings and pull out a Fare 1 or less piece of equipment that would be useful in your current situation, even if said item isn't written on your character sheet."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}]"
Gifted,"[{""name"": ""Gifted"",""type"": ""Trait"",""data"": {""notes"": ""You're known among your kin for your extraordinary might, cunningness, or charm.\n- Minor (cost 1 BP):  Increase the total value of a Stat of your choice by 5. Add a title, moniker, or epithet that describe the trait your known for to your name (e.g.:  Tharos the Mighty, Illydriel the Fair, etc).\n- Major (cost 3 BPs):  You can also increase the total value of a Stat of your choice (including the one you've already chosen) by another 5 points."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Gifted"",""type"": ""Modifier"",""data"": {""notes"": ""Type the three letter abbreviation of the chosen attribute ALL CAPS into the first entry for minor (then delete the second) and the second entry for major, or use one entry with a formula of 10."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": false,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": true,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 5,""formula"": ""5"",""category"": ""primary"",""targets"": ""Primary Attribute ABBR""},""2"": {""value"": 5,""formula"": ""5"",""category"": ""primary"",""targets"": ""Second Primary Attribute ABBR""}},""tempName"": ""Gifted""}}]"
Greater Fortune,"[{""name"": ""Greater Fortune"",""type"": ""Trait"",""data"": {""notes"": ""You come from a wealthy family, or managed to grow in richness and social standing with hard work… or blind luck.\n- Minor (cost 1 BP):  You can raise your starting Wealth Level by one, up to a maximum WL of 4.\n- Major (cost 3 BPs):  Additionally, you're the owner of some land, estate or business. Describe your property and decide where it's located. As long as you can reach it, and you're acquiring something that could be reasonably be provided by it, you can raise your WL by two more levels (up to a maximum WL of 5)."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}]"
Healer's Hands,"[{""name"": ""Healer's Hands"",""type"": ""Trait"",""data"": {""notes"": ""Some heroes are known for their might in battle, but you know that even a greater strength is required to mend what's broken. Yours are the hands of a healer, casting a pure light in a world besieged by Shadow. \n- Minor (cost 1 BP):  You gain a special +10 bonus to your Healer Skill, and a +10 bonus to your Nature Skill Rolls to find healing herbs.\n- Major (cost 3 BPs):  Additionally, whenever you treat one of your companions or administer them a healing herb, you may choose one of the following options:  have the patient recover a number of HPs equal to your ranks in the Healer Skill (not your Skill bonus); grant them a special bonus to a SR made to resist the effects of a disease or poison equal to double your number of ranks in the Healer Skill; reduce the recovery time of a treated Injury by one day for every 5 ranks you have in the Healer Skill."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Healer's Hands"",""type"": ""Modifier"",""data"": {""notes"": ""You gain a special +10 bonus to your Healer Skill."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 10,""formula"": ""10"",""category"": ""skill"",""targets"": ""Healer""}},""tempName"": ""Healer's Hands""}}, {""name"": ""Healer's Hands (Herbs)"",""type"": ""Modifier"",""data"": {""notes"": ""You gain a special +10 bonus to your Nature Skill Rolls to find healing herbs."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 10,""formula"": ""10"",""category"": ""skill"",""targets"": ""Nature""}},""tempName"": ""Healer's Hands (Herbs)""}}]"
Heroic Bloodline,"[{""name"": ""Heroic Bloodline"",""type"": ""Trait"",""data"": {""notes"": ""The blood of heroes runs strongly in your veins. Tales are sung about the mighty deeds of your family, of your ancestors. Now these tales live again, through you.\n- Minor (cost 1 BP):  You can take a Half Action to inspire all the allies that can hear you within a radius of 6 meters, granting them a special bonus of +10 to their Willpower Save Rolls, or a special +5 bonus to their Attack Bonus and Defense for the current Round. \n- Major (cost 3 BPs):  You can also reveal your ancestry to someone who doesn't know it as a Free Action. When you reveal yourself to someone, you can either gain a +10 bonus to your Attack Rolls against them for the current Round, or get to re-roll a Charisma or Deceive Roll against them with a +20 bonus."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Heroic Bloodline (Save)"",""type"": ""Modifier"",""data"": {""notes"": ""Granted by an Ally with Heroic Bloodline within 6m who has taken a half action to inspire you. Lasts one round."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": true,""skill"": false,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 10,""formula"": ""10"",""category"": ""defence"",""targets"": ""Willpower""}},""tempName"": ""Heroic Bloodline (Save)""}}, {""name"": ""Heroic Bloodline (Attack)"",""type"": ""Modifier"",""data"": {""notes"": ""Granted by an Ally with Heroic Bloodline within 6m who has taken a half action to inspire you. Lasts one round."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": true,""defence"": false,""skill"": false,""spell"": false,""check"": false,""reaction"": true,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 5,""formula"": ""5"",""category"": ""attack"",""targets"": """"},""2"": {""value"": 5,""formula"": ""5"",""category"": ""reaction"",""targets"": ""Melee, Missile""}},""tempName"": ""Heroic Bloodline (Attack)""}}]"
Keeper of the Hidden Lore,"[{""name"": ""Keeper of the Hidden Lore"",""type"": ""Trait"",""data"": {""notes"": ""You're an initiate of a secret magical tradition, or part of an arcane organization. Other initiates (and, sometimes, sworn enemies of your faction) could recognize you, and may either aid or hinder you, depending on the situation.\n- Minor (cost 1 BP):  You gain two ranks in one of your Kin, Vocational, or Common Spell Lores (see Magic chapter for more information on Spell Lores).\n- Major (cost 3 BPs):  Your training also unlocked a previously untapped reserve of magical power stored within you. You gain 1 extra MP per Level (including the first). However, the enemies of your faction both fear and long for your potential, and will go to great lengths to win you over to their cause."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Ranks:  Keeper of the Hidden Lore"",""type"": ""Variable"",""data"": {""notes"": ""You gain two ranks in a chosen Kin, Vocational or Common spell lore."",""chartype"": ""CharacterVsD"",""value"": 0,""formula"": """",""label"": """",""entries"": {""0"": {""value"": null,""formula"": """",""label"": """"},""1"": {""value"": 2,""formula"": ""2"",""label"": ""Spell Lore""}}}}]"
Loremaster,"[{""name"": ""Loremaster"",""type"": ""Trait"",""data"": {""notes"": ""You are a scholar, a chronicler, a sage. You spent years studying the history of the world and are always well-informed on anything that happens around you.\n- Minor (cost 1 BP):  You gain one rank in either the Songs & Tales or the Cultures Skill. Whenever you travel to a place you have never visited before in game, you may ask the GM to reveal an interesting rumor, piece of lore, or little-known historical fact about your destination.\n- Major (cost 3 BPs):  You gain the benefits of the Minor Tier. Additionally, choose a specific field of knowledge, such as Dwarven history or Elvish runes. Treat all Failure results you score in Songs & Tales or Cultures Skill Rolls concerning the field of knowledge you've chosen as if they were Partial Success results (Critical Failure results are not influenced by this ability)."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Ranks:  Loremaster"",""type"": ""Variable"",""data"": {""notes"": ""You gain one rank in either the Songs & Tales or Cultures skill."",""chartype"": ""CharacterVsD"",""value"": 4,""formula"": ""4"",""label"": ""Armor"",""entries"": {""0"": {""value"": null,""formula"": """",""label"": """"},""1"": {""value"": 1,""formula"": ""1"",""label"": ""Songs & Tales""},""2"": {""value"": 1,""formula"": ""1"",""label"": ""Cultures""}}}}]"
Lovable Rogue,"[{""name"": ""Lovable Rogue"",""type"": ""Trait"",""data"": {""notes"": ""You are a scoundrel, a crook, a liar, a ne'er-do-well. By all reasons, no one should like you, and yet people tend to find you unexplainably charming.\n- Minor (cost 1 BP):  Write what makes you unreliable yet likable in your Nature, and increase the total value of either your Wits or your Bearing by 5 points.\n- Major (cost 3 BPs):  Additionally, once per session, you can attempt to confuse a group of sentient beings with your outrageous behaviour as a Full Action. Your targets must be able to see and hear you, and cannot be engaged in combat for this ability to work. Describe your act and make a Conflicting Action Roll, using your Deceive Skill against their Perception Skill. If you win, your targets are Stunned and will be distracted by your actions until you stop or something else catches their attention."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Lovable Rogue"",""type"": ""Modifier"",""data"": {""notes"": ""Increase the value of either your Wits or Bearing attribute by 5 points."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": false,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": true,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 5,""formula"": ""5"",""category"": ""primary"",""targets"": ""WIT""},""2"": {""value"": 5,""formula"": ""5"",""category"": ""primary"",""targets"": ""BEA""}},""tempName"": ""Lovable Rogue""}}]"
Loyal Companion,"[{""name"": ""Loyal Companion"",""type"": ""Trait"",""data"": {""notes"": ""Your companion is more than a simple animal to you. It's your friend, your shadow; it's part of yourself.\n- Minor (cost 1 BP):  You gain a loyal Small or Medium-sized animal of your choosing, who travels with you and follows your orders blindly. \n- Major (cost 3 BPs):  Your companion can be up to Large in size, or the bond you have with it is strengthened, granting you the ability to communicate with it at a basic level (exchanging concepts like fear, joy, enemies, attack, etc) without speaking. You must be able to see each other to use this ability."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}]"
Magical Affinity,"[{""name"": ""Magical Affinity"",""type"": ""Trait"",""data"": {""notes"": ""A natural talent and specialized studies made you an expert in a particular school of magic.\n- Minor (cost 1 BP):  Choose one of your Vocational Spell Lores to become your favorite Spell Lore. You gain a +10 bonus to all Spell Casting and Arcana Rolls concerning your favorite Spell Lore.\n- Major (cost 3 BPs):  Additionally, you count as if you were one Level higher when casting Spells from your favorite Spell Lore. You also gain one additional MP per level, but you can spend these extra MPs only to cast Spells from your favorite Spell Lore. However, you have a rival who's determined either to discredit you in the academic circle or to prove their magic school's superiority to you."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Magical Affinity (Spell Lore)"",""type"": ""Modifier"",""data"": {""notes"": ""Choose one of your Vocational Spell Lores to become your favorite Spell Lore. You gain a +10 bonus to all Spell Casting Rolls concerning your favorite Spell Lore."",""chartype"": ""CharacterVsD"",""inEffect"": true,""alwaysOn"": false,""attack"": true,""defence"": false,""skill"": false,""spell"": true,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 10,""formula"": ""+10"",""category"": ""spell"",""targets"": ""Spell Lore""},""2"": {""value"": 10,""formula"": ""+10"",""category"": ""attack"",""targets"": ""Spell Lore""}},""tempName"": ""Magical Affinity (Spell Lore)""}}, {""name"": ""Magical Affinity (Arcana)"",""type"": ""Modifier"",""data"": {""notes"": ""Choose one of your Vocational Spell Lores to become your favorite Spell Lore. You gain a +10 bonus to all Arcana Rolls concerning your favorite Spell Lore."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 10,""formula"": ""+10"",""category"": ""skill"",""targets"": ""Arcana""}},""tempName"": ""Magical Affinity (Arcana)""}}]"
Mixed Ancestry,"[{""name"": ""Mixed Ancestry"",""type"": ""Trait"",""data"": {""notes"": ""Your parents came from two different cultures."",""chartype"": ""CharacterVsD"",""category"": ""disadvantage""}}, {""name"": ""Mixed Ancestry"",""type"": ""Trait"",""data"": {""notes"": ""Your parents came from two different Cultures, or maybe you were raised in a Culture other than the one you were born in.\n- Minor (cost 1 BP):  Choose a Culture other than your character's Culture and write a Passion about how your mixed ancestry influenced your character's life. Select a non-combat Skill in which the chosen Culture grants at least 2 Cultural Skill Ranks. Your character gains 1 rank in this Skills. Then choose one of the Culture's Outfitting Options and add that item to your character's starting equipment.\n- Major (cost 3 BPs):  Additionally, select a different Skill in which the chosen Culture grants at least 2 Cultural Skill Ranks. Swap your character's Cultural Skill Ranks with those granted by the chosen Culture."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}]"
Mundane,"[{""name"": ""Mundane"",""type"": ""Trait"",""data"": {""notes"": ""You're pretty sure this is all a mistake. You're nothing like those great heroes of legend, you're just an ordinary fellow. Fate, however, works in mysterious ways, and sometimes small hands must perform the deeds which turn the wheels of the world. \n- Minor (cost 1 BP):  At the end of each session, if you haven't spent Drive during the session, you gain a point of Drive.\n- Major (cost 3 BPs):  Additionally, you gain a +30 bonus to your Save Rolls and Defense against magic, but you also suffer a -20 penalty to your Attunement Rolls and Spell Casting Rolls."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Mundane (Magic)"",""type"": ""Modifier"",""data"": {""notes"": ""You gain a +30 bonus to your Save Rolls and Defense against magic, but you also suffer a -20 penalty to your Attunement Rolls and Spell Casting Rolls."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": true,""skill"": true,""spell"": true,""check"": false,""reaction"": true,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 30,""formula"": ""30"",""category"": ""defence"",""targets"": ""Willpower, Toughness""},""2"": {""value"": -20,""formula"": ""-20"",""category"": ""spell"",""targets"": """"},""3"": {""value"": 30,""formula"": ""30"",""category"": ""reaction"",""targets"": ""Missile, Melee""},""4"": {""value"": -20,""formula"": ""-20"",""category"": ""skill"",""targets"": ""Arcana""}},""tempName"": ""Mundane (Magic)""}}]"
